Network,Speedup,Energy_Saving_Pct,Latency_ms,Energy_uJ,FPS
ResNet50,3.9776286353467563,61.051982000544584,8.9714688,1842.426436917973,111.46446833767064
VGG16,4.994431764298855,68.93504621356955,14.417780480000001,2993.0601326815217,69.35880327677175
MobileNetV2,2.8571428571428577,45.73641196545194,2.7817574399999994,578.7043962700291,359.484973643137
BERT-Base,3.3333333333333335,53.67388300600322,8.1002496,1670.4406551472266,123.45298594255664
AlexNet,4.999999999999999,68.65915372196939,13.435039040000005,2817.6889711458584,74.43223626092266
